Date,Close,High,Low,Open,Volume
2014-10-24,66.62,68.32,66.33,68.02,1904543
2014-10-27,65.15,66.13,64.14,64.98,1798280
2014-10-28,67.39,67.45,64.65,65.56,1649802
2014-10-29,66.9,69.0,66.28,68.13,2192160
2014-10-30,66.06,68.82,65.65,67.81,2682145
2014-10-31,68.4,68.48,65.782,67.11,2391247
2014-11-03,66.77,69.99,66.225,69.19,2927529
2014-11-04,67.28,67.59,65.45,65.97,2329267
2014-11-05,70.08,70.44,67.14,67.7,2609393
2014-11-06,72.8,72.94,69.1,69.83,3182993
2014-11-07,73.09,74.38,72.29,72.59,2684518
2014-11-10,72.38,74.64,71.72,73.86,2215828
2014-11-11,73.99,74.276,71.15,71.92,2165543
2014-11-12,72.3,73.492,72.14,73.35,1765407
2014-11-13,70.71,71.915,70.11,71.51,2287962
2014-11-14,71.92,72.34,70.74,70.89,2160969
2014-11-17,72.38,73.13,71.06,71.62,2440292
2014-11-18,71.46,72.74,70.72,71.96,1867976
2014-11-19,73.0,74.2,71.35,71.98,2109561
2014-11-20,73.1,74.47,72.35,72.73,1974783
2014-11-21,72.2,74.46,71.69,74.09,2053211
2014-11-24,70.58,71.76,69.52,71.76,2225035
2014-11-25,68.91,71.0,68.35,70.56,1875498
2014-11-26,68.76,69.11,67.67,68.54,1678004
2014-11-27,68.76,68.76,68.76,68.76,0
2014-11-28,65.65,68.61,65.5,66.54,2438186
2014-12-01,65.35,65.56,63.82,65.34,2538691
2014-12-02,64.08,66.08,63.96,64.6,2098933
2014-12-03,64.48,65.56,63.9,64.54,1678686
2014-12-04,60.55,64.06,60.12,63.58,3831785
2014-12-05,58.93,60.88,58.08,60.49,4604075
2014-12-08,55.3,58.434,55.3,57.96,5088567
2014-12-09,55.54,56.2,54.81,54.86,3947920
2014-12-10,52.28,55.07,52.205,54.54,4663361
2014-12-11,52.98,54.78,51.83,52.0,3636018
2014-12-12,54.18,54.96,51.99,52.39,3644552
2014-12-15,55.4,58.35,55.26,56.76,5022654
2014-12-16,58.22,61.25,55.18,55.4,5781794
2014-12-17,61.91,62.73,58.37,58.49,4481236
2014-12-18,60.09,64.28,57.94,63.81,5369204
2014-12-19,59.87,61.0,57.61,60.95,5063685
2014-12-22,57.07,58.745,55.51,58.14,3678030
2014-12-23,57.0,57.81,55.75,55.75,2574982
2014-12-24,55.73,57.48,55.59,56.62,1306122
2014-12-25,55.73,55.73,55.73,55.73,0
2014-12-26,54.57,56.55,54.02,56.02,2336907
2014-12-29,56.0,56.146,54.8,55.32,3731404
2014-12-30,53.65,56.09,53.36,56.0,3370601
2014-12-31,53.45,54.55,53.11,53.15,3089403
2015-01-01,53.45,53.45,53.45,53.45,0
2015-01-02,55.4,55.74,52.84,53.0,2643519
2015-01-05,51.96,54.92,51.95,54.58,3649623
2015-01-06,50.59,52.9,49.6,51.77,4041013
2015-01-07,49.12,51.29,48.62,51.18,3123318
2015-01-08,50.05,50.53,48.4,49.26,3099208
2015-01-09,50.29,51.04,49.22,49.92,3189413
2015-01-12,47.62,49.73,47.52,49.41,4588308
2015-01-13,47.02,48.25,46.4,47.83,4269952
2015-01-14,47.95,48.08,46.16,47.22,5449663
2015-01-15,46.95,49.08,46.87,48.93,4883975
2015-01-16,49.58,49.72,46.95,47.02,4680388
2015-01-19,49.58,49.58,49.58,49.58,0
2015-01-20,48.33,48.51,46.81,48.28,3091426
2015-01-21,49.76,50.47,48.732,48.77,1966303
2015-01-22,49.03,50.18,48.02,49.82,2354080
2015-01-23,48.64,50.37,48.58,49.19,1900793
2015-01-26,49.52,49.67,48.305,48.9,2127986
2015-01-27,49.27,50.29,48.31,49.37,1767823
2015-01-28,46.98,48.89,46.7476,48.86,2535338
2015-01-29,45.49,47.85,44.92,47.4,4435570
2015-01-30,46.27,46.93,44.17,44.99,4262465
2015-02-02,47.81,48.3,46.02,47.28,5162048
2015-02-03,51.39,51.72,48.11,48.59,4991192
2015-02-04,49.94,50.56,48.98,50.36,3869609
2015-02-05,51.71,52.44,50.42,50.79,3348048
2015-02-06,51.66,53.15,51.08,52.37,2861727
2015-02-09,50.84,52.77,50.57,51.96,2500665
2015-02-10,52.45,52.63,49.16,50.84,3237082
2015-02-11,51.29,52.73,51.03,52.0,3227800
2015-02-12,50.77,52.75,50.3699,52.14,2407400
2015-02-13,50.84,51.61,50.26,51.5,2450408
2015-02-16,50.84,50.84,50.84,50.84,0
2015-02-17,52.44,52.6,50.56,50.67,2520115
2015-02-18,51.89,53.32,51.53,51.57,2486635
2015-02-19,52.02,53.05,50.1,50.29,2333231
2015-02-20,51.84,52.66,51.2,52.08,1965346
2015-02-23,51.35,52.42,50.66,51.2,1533241
2015-02-24,51.24,51.75,50.6,51.37,2205893
2015-02-25,53.91,55.26,51.65,53.99,6271908
2015-02-26,50.82,53.59,50.48,53.23,3683132
2015-02-27,49.54,51.74,49.32,51.42,3093452
2015-03-02,49.43,49.595,48.02,49.54,3902291
2015-03-03,50.27,51.75,49.43,49.43,2379131
2015-03-04,50.11,50.54,49.225,50.54,1852896
2015-03-05,49.76,50.34,49.09,49.69,1957016
2015-03-06,48.75,49.75,48.4346,49.1,2030946
2015-03-09,46.61,48.68,46.49,48.51,4215973
2015-03-10,45.98,46.76,45.7,46.33,2673924
2015-03-11,47.09,47.5,45.745,45.92,2272929
2015-03-12,45.4,48.15,45.33,48.09,2702884
